<<<<<<< HEAD
/ [GET, 404, 127.0.0.1, 2022-03-18 10:37:27.646207, 0.001s, 22B]
/v1/diseases/search?disease=influenza [GET, 404, 127.0.0.1, 2022-04-04 15:36:44.245015, 0.2068s, 61B]
/v1/diseases/search?disease=influenza [GET, 404, 127.0.0.1, 2022-04-04 15:36:57.040063, 0.0302s, 61B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 15:37:00.938106, 0.0143s, 187B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 15:37:10.756347, 9.83s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 15:40:07.520307, 0.6936s, 187B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 15:40:12.152916, 0.0341s, 189B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 15:40:13.908822, 0.0224s, 188B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 15:40:16.975127, 10.1465s, 4187B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 15:40:21.643012, 0.0142s, 410B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 15:40:23.340838, 0.013s, 188B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 15:40:25.211134, 0.015s, 138B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 15:40:29.944698, 0.0134s, 189B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 15:40:35.569905, 0.0137s, 188B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 15:42:06.975978, 0.1239s, 188B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 15:42:28.177645, 0.014s, 188B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 15:44:30.640069, 0.1243s, 188B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 15:45:03.534911, 0.0215s, 188B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 15:45:26.460915, 0.0269s, 187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 15:45:42.441116, 0.0227s, 187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 15:46:13.931447, 0.0211s, 187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 15:46:15.845391, 0.0149s, 187B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 15:46:19.050845, 0.0258s, 188B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 15:46:25.471405, 9.6379s, 4187B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 15:46:25.641490, 0.0215s, 189B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 15:47:22.709358, 0.6911s, 187B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 15:47:25.026598, 0.0247s, 138B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 15:47:28.848330, 0.0143s, 188B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 15:47:30.796910, 0.0131s, 138B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 15:47:32.309872, 10.2901s, 4187B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 15:47:33.184982, 0.0142s, 410B]
/v1/top5Dieseases?continent=North%20America [GET, 200, 127.0.0.1, 2022-04-04 15:47:34.853868, 0.0153s, 169B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 15:47:36.248829, 0.0251s, 410B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 15:47:39.424023, 0.0137s, 188B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 15:47:40.525482, 0.0145s, 138B]
/v1/top5Dieseases?continent=North%20America [GET, 200, 127.0.0.1, 2022-04-04 15:47:46.027658, 0.0135s, 169B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 15:47:48.513776, 0.0133s, 410B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 15:47:51.902257, 0.0145s, 138B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 15:47:57.509909, 0.0169s, 410B]
/v1/top5Dieseases?continent=North%20America [GET, 200, 127.0.0.1, 2022-04-04 15:48:00.375366, 0.0161s, 169B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 15:48:06.045449, 0.0129s, 189B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 15:48:08.622411, 0.0176s, 188B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 15:48:13.402464, 0.0163s, 410B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 15:48:26.114097, 0.014s, 188B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 15:48:34.238926, 0.0149s, 410B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 15:48:39.325405, 0.015s, 138B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 15:51:28.922021, 0.7102s, 187B]
/v1/top5Dieseases?continent=South%20America [GET, 200, 127.0.0.1, 2022-04-04 15:51:31.218537, 0.0143s, 228B]
/v1/top5Dieseases?continent=North%20America [GET, 200, 127.0.0.1, 2022-04-04 15:51:36.090071, 0.3644s, 169B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 15:51:38.838461, 10.6249s, 4187B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 15:51:50.355558, 0.0144s, 410B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 15:51:54.589181, 0.0188s, 188B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 15:51:57.789978, 0.0134s, 189B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 15:52:04.780006, 0.0138s, 410B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 15:52:52.934393, 9.7948s, 4187B]
/v1/top5Dieseases?continent=North%20America [GET, 200, 127.0.0.1, 2022-04-04 15:52:58.952146, 0.0204s, 169B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 15:53:02.273621, 9.3347s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 15:53:57.516577, 1.0299s, 187B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 15:54:01.746450, 0.0148s, 138B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 15:54:07.392703, 10.9035s, 4187B]
/v1/diseases/search?disease=influenza [GET, 404, 127.0.0.1, 2022-04-04 15:54:16.836575, 0.0239s, 61B]
/v1/diseases/search?disease=influenza [GET, 404, 127.0.0.1, 2022-04-04 15:54:22.406272, 0.0358s, 61B]
/v1/diseases/search?disease=influenza [GET, 404, 127.0.0.1, 2022-04-04 15:56:28.894256, 0.1255s, 61B]
/v1/diseases/search?disease=influenza [GET, 404, 127.0.0.1, 2022-04-04 16:01:09.712089, 0.236s, 61B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:02:59.930722, 0.8195s, 187B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:03:13.615195, 14.5022s, 4187B]
/v1/diseases/search?disease=influenza [GET, 404, 127.0.0.1, 2022-04-04 16:03:15.691707, 0.0261s, 61B]
/v1/diseases/search?disease=influenza [GET, 404, 127.0.0.1, 2022-04-04 16:03:59.660049, 0.504s, 61B]
/v1/diseases/search?disease=influenza [GET, 404, 127.0.0.1, 2022-04-04 16:05:34.575947, 0.6531s, 61B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:06:18.837791, 0.0276s, 187B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:06:28.781791, 9.9693s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:12:11.759072, 0.2397s, 187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:12:17.017847, 0.0311s, 187B]
/v1/diseases/search?disease=Hepatitis%20B [GET, 200, 127.0.0.1, 2022-04-04 16:12:19.758468, 0.052s, 29B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:12:27.216510, 10.2267s, 4187B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 16:12:48.406988, 0.0148s, 138B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 16:12:50.240080, 0.0149s, 188B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:12:54.907381, 9.3054s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:13:22.495065, 0.1152s, 187B]
/v1/diseases/search?disease=Hepatitis%20B [GET, 200, 127.0.0.1, 2022-04-04 16:13:25.575193, 0.0407s, 29B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:13:31.986921, 9.6043s, 4187B]
/v1/diseases/search?disease=Hepatitis%20B [GET, 200, 127.0.0.1, 2022-04-04 16:13:48.178370, 0.8153s, 50B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:14:21.914884, 0.0194s, 187B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 16:14:24.453431, 0.0149s, 138B]
/v1/top5Dieseases?continent=South%20America [GET, 200, 127.0.0.1, 2022-04-04 16:14:26.427559, 0.0168s, 228B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 16:14:28.688922, 0.0131s, 189B]
/v1/diseases/search?disease=Influenza [GET, 200, 127.0.0.1, 2022-04-04 16:14:30.341278, 0.0346s, 114B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:14:32.052562, 10.1522s, 4187B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:14:43.514629, 9.7716s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:17:51.823380, 0.877s, 187B]
/v1/diseases/search?disease=Hepatitis%20B [GET, 200, 127.0.0.1, 2022-04-04 16:17:54.869919, 0.0553s, 44B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:18:01.246600, 10.2986s, 4187B]
/v1/diseases/search?disease=Hepatitis%20B [GET, 200, 127.0.0.1, 2022-04-04 16:18:15.994912, 0.5668s, 44B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:19:46.868895, 0.1211s, 187B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 16:19:50.383581, 0.0181s, 138B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 16:19:52.213403, 0.0162s, 188B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 16:19:54.548481, 0.0171s, 189B]
/v1/diseases/search?disease=Influenza [GET, 200, 127.0.0.1, 2022-04-04 16:19:56.343525, 0.057s, 114B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:19:56.556184, 9.8056s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:20:12.238916, 0.6033s, 187B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:20:21.978159, 10.3406s, 4187B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 16:20:26.407413, 0.0155s, 188B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 16:20:29.664633, 0.0356s, 410B]
/v1/top5Dieseases?continent=North%20America [GET, 200, 127.0.0.1, 2022-04-04 16:20:33.210516, 0.0134s, 169B]
/v1/top5Dieseases?continent=South%20America [GET, 200, 127.0.0.1, 2022-04-04 16:20:35.429411, 0.0133s, 228B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 16:20:37.579802, 0.0123s, 138B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 16:20:41.399245, 0.0424s, 410B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 16:20:45.174821, 0.0146s, 188B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 16:20:48.359648, 0.0146s, 189B]
/v1/top5Dieseases?continent=North%20America [GET, 200, 127.0.0.1, 2022-04-04 16:20:51.661249, 0.0145s, 169B]
/v1/top5Dieseases?continent=South%20America [GET, 200, 127.0.0.1, 2022-04-04 16:20:53.768348, 0.0539s, 228B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 16:20:56.498224, 0.0147s, 410B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 16:21:10.154533, 0.0402s, 188B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 16:21:15.548666, 0.0151s, 410B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 16:21:18.785739, 0.0163s, 188B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 16:21:22.251755, 0.014s, 189B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 16:21:31.111204, 0.0135s, 410B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 16:21:41.821364, 0.066s, 138B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:22:19.944445, 0.1179s, 187B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:22:29.337569, 9.5074s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:25:08.815933, 0.123s, 187B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:25:21.257001, 12.5608s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:27:14.311990, 0.1218s, 187B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 16:27:18.471144, 0.0173s, 138B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 16:27:23.439499, 0.0137s, 188B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:27:24.339993, 10.1475s, 4187B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 16:27:33.234245, 0.0149s, 189B]
/v1/top5Dieseases?continent=Europe [GET, 200, 127.0.0.1, 2022-04-04 16:27:38.811881, 0.0229s, 410B]
/v1/top5Dieseases?continent=North%20America [GET, 200, 127.0.0.1, 2022-04-04 16:27:42.236130, 0.0133s, 169B]
/v1/top5Dieseases?continent=South%20America [GET, 200, 127.0.0.1, 2022-04-04 16:27:46.944934, 0.0157s, 228B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 16:27:49.663448, 0.0162s, 138B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:33:45.210003, 0.8214s, 187B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 16:33:47.950448, 0.0209s, 188B]
/v1/diseases/search?disease=Tuberculosis [GET, 200, 127.0.0.1, 2022-04-04 16:33:59.232561, 4.2323s, 894B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:34:01.216630, 16.8252s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:34:37.748596, 0.5016s, 187B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 16:34:40.104824, 0.0132s, 138B]
/v1/diseases/search?disease=Yellow%20fever [GET, 404, 127.0.0.1, 2022-04-04 16:34:41.656162, 0.0202s, 64B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:34:47.179849, 9.9311s, 4187B]
/v1/diseases/search?disease=Yellow%20fever [GET, 404, 127.0.0.1, 2022-04-04 16:35:43.716459, 0.4831s, 64B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:38:58.239017, 0.765s, 187B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 16:39:00.312576, 0.0159s, 138B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:39:04.094649, 0.018s, 187B]
/v1/diseases/search?disease=Hepatitis%20B [GET, 200, 127.0.0.1, 2022-04-04 16:39:06.384078, 0.0423s, 44B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:39:19.026782, 21.5511s, 4187B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:39:20.676795, 16.5975s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:39:40.905132, 0.5044s, 187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:39:42.260235, 0.0218s, 187B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 16:39:45.261039, 0.0142s, 138B]
/v1/diseases/search?disease=Yellow%20fever [GET, 404, 127.0.0.1, 2022-04-04 16:39:47.361893, 0.0328s, 64B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:39:50.477316, 10.0755s, 4187B]
/v1/diseases/search?disease=Yellow%20fever [GET, 200, 127.0.0.1, 2022-04-04 16:41:13.980520, 0.6424s, 729B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:41:21.185430, 0.0195s, 187B]
/v1/diseases/search?disease=Hepatitis%20B [GET, 200, 127.0.0.1, 2022-04-04 16:41:23.011521, 0.042s, 44B]
/v1/hangman/undefined [GET, 200, 127.0.0.1, 2022-04-04 16:41:30.375564, 0.0228s, 4B]
/v1/quizzes/undefined/getAll [GET, 200, 127.0.0.1, 2022-04-04 16:41:33.597272, 0.0164s, 2B]
/v1/quizzes/undefined/getAll [GET, 200, 127.0.0.1, 2022-04-04 16:41:40.639174, 0.0421s, 2B]
/v1/hangman/undefined [GET, 200, 127.0.0.1, 2022-04-04 16:41:41.744065, 0.0173s, 4B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:41:41.996612, 20.8277s, 4187B]
/v1/diseases/search?disease=Hepatitis%20B [GET, 200, 127.0.0.1, 2022-04-04 16:41:43.623634, 0.043s, 44B]
/v1/diseases/search?disease=Hepatitis%20B [GET, 200, 127.0.0.1, 2022-04-04 16:41:47.922049, 0.0399s, 44B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:43:31.294803, 0.1237s, 187B]
/v1/diseases/search?disease=Malaria [GET, 200, 127.0.0.1, 2022-04-04 16:43:34.760344, 0.0599s, 818B]
/v1/diseases/search?disease=Malaria [GET, 200, 127.0.0.1, 2022-04-04 16:43:41.645516, 2.118s, 818B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:43:43.236734, 0.034s, 187B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 16:43:46.034203, 0.0148s, 189B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:43:46.334878, 15.1582s, 4187B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 16:43:48.700590, 0.017s, 138B]
/v1/diseases/search?disease=Yellow%20fever [GET, 200, 127.0.0.1, 2022-04-04 16:43:50.053970, 0.0403s, 729B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:43:53.930459, 10.7242s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:43:59.823171, 0.0216s, 187B]
/v1/diseases/search?disease=Hepatitis%20B [GET, 200, 127.0.0.1, 2022-04-04 16:44:06.062295, 0.0338s, 44B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:44:09.440985, 9.6367s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:44:44.675087, 0.1211s, 187B]
/v1/diseases/search?disease=Hepatitis%20B [GET, 200, 127.0.0.1, 2022-04-04 16:44:50.103546, 0.4509s, 44B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:44:55.018942, 10.4613s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:45:17.390227, 0.0211s, 187B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:45:26.923392, 9.547s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:46:19.032151, 0.1157s, 187B]
/v1/diseases/search?disease=Hepatitis%20B [GET, 200, 127.0.0.1, 2022-04-04 16:46:21.330596, 0.0428s, 44B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:46:27.600883, 0.0207s, 187B]
/v1/diseases/search?disease=Malaria [GET, 200, 127.0.0.1, 2022-04-04 16:46:29.138288, 0.0369s, 818B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:46:29.208259, 10.2891s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:46:33.014995, 0.0157s, 187B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 16:46:35.370794, 0.0139s, 189B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 16:46:37.542376, 0.0171s, 138B]
/v1/diseases/search?disease=Yellow%20fever [GET, 200, 127.0.0.1, 2022-04-04 16:46:38.784654, 0.0399s, 729B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:46:41.257076, 13.6748s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:46:43.135364, 0.0164s, 187B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:46:47.498024, 14.4936s, 4187B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 16:46:47.667140, 0.0149s, 189B]
/v1/diseases/search?disease=Influenza [GET, 200, 127.0.0.1, 2022-04-04 16:46:49.044411, 0.0495s, 114B]
/v1/hangman/Influenza [GET, 200, 127.0.0.1, 2022-04-04 16:46:54.530520, 0.0141s, 71B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:46:54.531537, 11.4095s, 4187B]
/v1/quizzes/Influenza/getAll [GET, 200, 127.0.0.1, 2022-04-04 16:48:01.534968, 0.1188s, 530B]
/v1/listDiseases [GET, 200, 127.0.0.1, 2022-04-04 16:48:08.384380, 0.0407s, 281B]
/v1/quizzes/Influenza/getAll [GET, 200, 127.0.0.1, 2022-04-04 16:48:15.315617, 0.0185s, 530B]
/v1/quiz/Influenza/0 [GET, 200, 127.0.0.1, 2022-04-04 16:48:16.542153, 0.0173s, 528B]
/v1/quiz/undefined/answer [OPTIONS, 200, 127.0.0.1, 2022-04-04 16:48:19.363797, 0.0002s, 2B]
/v1/quiz/undefined/answer [POST, 200, 127.0.0.1, 2022-04-04 16:48:19.407377, 0.0411s, 35B]
/v1/quiz/Influenza/0 [GET, 200, 127.0.0.1, 2022-04-04 16:48:20.259784, 0.0157s, 528B]
/v1/answer/tvZwW9JUWwJhkYTv3OBC [GET, 200, 127.0.0.1, 2022-04-04 16:48:20.284083, 0.014s, 213B]
/v1/quizzes/Influenza/getAll [GET, 200, 127.0.0.1, 2022-04-04 16:48:22.207972, 0.0175s, 530B]
/v1/crosswords/Influenza/getAll [GET, 200, 127.0.0.1, 2022-04-04 16:48:26.022125, 0.0345s, 623B]
/v1/crosswords/Influenza/1 [GET, 200, 127.0.0.1, 2022-04-04 16:48:27.849878, 0.0215s, 612B]
/v1/crosswords/Influenza/getAll [GET, 200, 127.0.0.1, 2022-04-04 16:49:44.929720, 0.1285s, 623B]
/v1/diseases/search?disease=Influenza [GET, 200, 127.0.0.1, 2022-04-04 16:49:47.264607, 0.0565s, 114B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:49:50.288557, 0.0184s, 187B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:50:00.342211, 10.0696s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:50:52.523191, 0.7975s, 187B]
/v1/top5Dieseases?continent=Africa [GET, 200, 127.0.0.1, 2022-04-04 16:50:53.934242, 0.0254s, 138B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:51:08.489936, 16.7629s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:51:10.748051, 0.0168s, 187B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:51:20.277817, 9.5358s, 4187B]
/v1/users/create [OPTIONS, 200, 127.0.0.1, 2022-04-04 16:51:30.803923, 0.0003s, 2B]
/v1/users/create [POST, 400, 127.0.0.1, 2022-04-04 16:51:30.807495, 0.0013s, 38B]
/v1/users/create [POST, 400, 127.0.0.1, 2022-04-04 16:51:46.200922, 0.001s, 38B]
/v1/users/create [POST, 400, 127.0.0.1, 2022-04-04 16:51:47.044800, 0.001s, 38B]
/v1/users/create [POST, 201, 127.0.0.1, 2022-04-04 16:51:57.203371, 1.4407s, 57B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:51:57.327511, 0.0204s, 187B]
/v1/users/create [POST, 409, 127.0.0.1, 2022-04-04 16:51:57.483413, 0.746s, 38B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:52:10.157040, 12.8473s, 4187B]
/v1/users/create [POST, 201, 127.0.0.1, 2022-04-04 16:53:02.635112, 1.3007s, 57B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:53:03.018359, 0.0359s, 187B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:53:13.094251, 10.1085s, 4187B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:54:23.599655, 0.1178s, 187B]
/v1/top5Dieseases?continent=Asia [GET, 200, 127.0.0.1, 2022-04-04 16:54:29.921464, 0.0168s, 188B]
/v1/latestReports [GET, 200, 127.0.0.1, 2022-04-04 16:54:33.375674, 9.8908s, 4187B]
/v1/top5Dieseases?continent=Oceania [GET, 200, 127.0.0.1, 2022-04-04 16:54:42.632846, 0.0174s, 189B]
/v1/top5Dieseases?continent=World [GET, 200, 127.0.0.1, 2022-04-04 16:58:03.984911, 0.7906s, 187B]
